Swimmer name,Year of birth,Country,Time,Splits,Date
"SCHWINGENSCHLOEGL, Fabian",1991,Germany,2:08.13,"['26.52', '33.62', '38.92', '29.07']",11 Jun 2008
"COSMA, Catalin",1988,Romania,2:08.16,[],26 Jun 2008
"KUNST, Niklas",1989,Germany,2:08.18,"['27.63', '32.43', '37.91', '30.21']",11 Jun 2008
"SAVCHENKO, Egor",1990,Russia,2:08.19,[],16 May 2008
"PEK, Csaba",1989,Hungary,2:08.19,"['28.53', '31.66', '1:08.']",12 Jul 2008
"MITCHELL, Andrew",1989,Croatia,2:08.23,"['26.96', '32.12', '38.77', '30.38']",18 May 2008
"KRUEGER, Leif-Marten",1983,Germany,2:08.25,"['59.50', '1:08.']",3 May 2008
"GILCHRIST, Kristopher",1983,Great Britain,2:08.26,"['27.69', '33.60', '35.60', '31.37']",16 Feb 2008
"RAVNAN, Eirik",1989,Norway,2:08.28,"['27.89', '33.49', '36.63', '30.27']",10 Jul 2008
"PERMINOV, Artem",1991,Russia,2:08.32,[],16 May 2008
"REGO, Ricardo Amorim",1984,Portugal,2:08.34,"['27.79', '32.65', '37.31', '30.59']",29 Mar 2008
"SZANA, Zsombor",1992,Hungary,2:08.37,"['27.77', '32.14', '1:08.']",11 Jul 2008
"SCANLON, Iain",1990,Great Britain,2:08.39,[],31 Jul 2008
"CSEH, Laszlo",1985,Hungary,1:55.18,"['24.72', '29.06', '33.62', '27.78']",29 Jul 2009
"GODDARD, James",1983,Great Britain,1:57.12,"['25.13', '29.49', '34.23', '28.27']",29 Jul 2009
"KIS, Gergo",1988,Hungary,1:58.11,"['25.88', '30.15', '34.67', '27.41']",29 Jul 2009
"NEVO, Gal",1987,Israel,1:58.25,"['25.68', '31.60', '32.74', '28.23']",29 Jul 2009
"BOGGIATTO, Alessio",1981,Italy,1:58.33,"['25.72', '31.15', '32.67', '28.79']",29 Jul 2009
"LEBHERZ, Yannick",1989,Germany,1:58.94,"['24.98', '30.30', '35.09', '28.57']",29 Jul 2009
"JUKIC, Dinko",1989,Austria,1:59.18,"['25.01', '30.61', '34.96', '28.60']",9 Aug 2009
"ALYFANTIS, Romanos-Iason",1986,Greece,1:59.41,[],9 May 2009
"HORTH, Fabien",1985,France,1:59.58,"['26.00', '30.99', '34.29', '28.30']",25 Apr 2009
"ROEBUCK, Joe",1985,Great Britain,1:59.65,"['25.55', '30.78', '34.78', '28.54']",29 Jul 2009
"VERRASZTO, David",1988,Hungary,1:59.89,"['26.84', '30.34', '1:02.']",28 Jun 2009
"LIIVAMAEGI, Martin",1988,Estonia,1:59.95,"['25.86', '30.83', '34.43', '28.83']",29 Jul 2009
"CARVALHO, Diogo Filipe",1988,Portugal,1:59.96,"['25.31', '1:34.']",5 Apr 2009
"LESTINGI, Damiano",1989,Italy,2:00.10,"['26.08', '30.04', '35.67', '28.31']",30 May 2009
"JANUSAITIS, Vytautas",1981,Lithuania,2:00.32,"['25.11', '29.85', '35.63', '29.73']",29 Jul 2009
"CABELLO FORNS, Brenton",1981,Spain,2:00.38,"['25.26', '1:35.']",5 Apr 2009
"SOULIER, Christophe",1984,France,2:00.38,"['25.77', '31.17', '34.92', '28.52']",25 Apr 2009
"CABELLO FORNS, Alan",1988,Spain,2:00.43,"['25.91', '1:34.']",5 Apr 2009
"ROSOLINO, Massimiliano",1978,Italy,2:00.49,"['26.63', '31.95', '33.48', '28.43']",30 May 2009
"WOJT, Lukasz",1982,Poland,2:00.72,"['25.87', '30.70', '35.79', '28.36']",29 Jul 2009
"ROKI, Niksa",1988,Croatia,2:00.91,"['25.70', '29.75', '36.13', '29.33']",6 Jul 2009
"SMITH, Lewis",1988,Great Britain,2:00.93,[],27 Jun 2009
"DIOLI, Luca Angelo",1988,Italy,2:01.05,"['26.63', '30.80', '34.86', '28.76']",5 Mar 2009
"KRYLOV, Andrey",1984,Russia,2:01.10,"['25.96', '30.93', '34.95', '29.26']",30 Apr 2009
"SCHEPERS, Jan David",1990,Germany,2:01.14,"['56.71', '1:04.']",11 Jul 2009
"TIKHONOV, Alexander",1988,Russia,2:01.17,"['26.17', '30.30', '35.92', '28.78']",30 Apr 2009
"SCIOCCHETTI, Cesare",1989,Italy,2:01.20,"['25.79', '30.56', '36.34', '28.51']",30 May 2009
"DUBROV, Denys",1989,Ukraine,2:01.21,"['25.71', '30.58', '34.53', '30.39']",10 Aug 2009
"MATCZAK, Mateusz",1989,Poland,2:01.23,"['26.63', '30.52', '35.36', '28.72']",23 May 2009
"FOSSI, Claudio",1989,Italy,2:01.25,"['26.54', '32.01', '33.01', '29.69']",12 Aug 2009
"ALJAND, Martti",1987,Estonia,2:01.26,"['26.21', '31.69', '34.01', '29.35']",29 Jul 2009
"TANCOCK, Liam",1985,Great Britain,2:01.34,[],27 Jun 2009
"FEBBRARO, Nicola",1981,Italy,2:01.36,"['26.35', '31.18', '35.13', '28.70']",12 Aug 2009
"IMPRIC, Sasa",1986,Croatia,2:01.41,"['25.53', '29.90', '35.81', '30.17']",29 Jul 2009
"JAMIESON, Michael",1988,Great Britain,2:01.48,[],18 Mar 2009
"CHRISTENSEN, Chris",1988,Denmark,2:01.62,"['26.79', '30.61', '34.67', '29.55']",29 Jul 2009
"GARCIA ORTIZ, Sergio",1989,Spain,2:01.66,"['26.61', '1:35.']",21 Jul 2009
"NUNEZ MOLANO, Javier",1983,Spain,2:01.68,"['26.02', '1:35.']",21 Jul 2009
"PIZZAMIGLIO, Stefano Mauro",1991,Italy,2:01.71,"['25.68', '30.37', '35.31', '30.35']",12 Aug 2009
"ALMEIDA, Carlos Esteves",1988,Portugal,2:01.78,"['25.95', '31.29', '35.00', '29.54']",29 Jul 2009
"KORZENIOWSKI, Pawel",1985,Poland,2:01.85,"['25.97', '31.69', '36.84', '27.35']",23 May 2009
"FLORENZANO, Niccolo",1988,Italy,2:02.11,"['26.51', '31.01', '35.97', '28.62']",5 Mar 2009
"PAVONE, Francesco",1991,Italy,2:02.18,"['26.62', '31.31', '35.21', '29.04']",12 Aug 2009
"COVA, Davide",1989,Italy,2:02.19,"['26.37', '31.29', '35.11', '29.42']",5 Mar 2009
"SJOEDIN, Simon",1986,Sweden,2:02.19,"['25.90', '31.28', '35.97', '29.04']",2 Jul 2009
"PELIZZARI, Matteo",1991,Italy,2:02.22,"['26.63', '31.82', '34.12', '29.65']",5 Mar 2009
"GREMIZZI, Giacomo",1990,Italy,2:02.28,"['25.98', '31.40', '35.67', '29.23']",12 Aug 2009
"KVALE, Gard",1984,Norway,2:02.29,"['26.15', '31.55', '35.43', '29.16']",29 Jul 2009
"KOKKODIS, Ioannis",1981,Greece,2:02.38,[],6 Aug 2009
"ALEXANDROV, Mihail",1985,Bulgaria,2:02.50,"['26.60', '33.71', '33.63', '28.56']",8 Aug 2009
"STACCHIOTTI, Raphael",1992,Luxembourg,2:02.56,"['26.24', '31.60', '1:04.']",10 Jul 2009
"WALLBURGER, Tim",1989,Germany,2:02.57,"['26.42', '32.21', '1:03.']",25 Jun 2009
"FUCIK, Tomas",1985,Czech Republic,2:02.60,"['25.95', '32.22', '34.97', '29.46']",29 Jul 2009
"PERIC, David",1989,Italy,2:02.71,"['26.26', '32.03', '35.56', '28.86']",12 Aug 2009
"WOLF, Bernhard",1988,Austria,2:02.73,"['26.50', '30.79', '36.40', '29.04']",1 Mar 2009
"LEPS'KYY, Vadym",1985,Ukraine,2:02.85,"['27.08', '31.53', '35.40', '28.84']",14 Jun 2009
"DUER, Dominik",1986,Austria,2:02.88,"['26.54', '32.08', '35.60', '28.66']",9 Aug 2009
"MOHAMMED, Xavier",1990,Great Britain,2:02.89,"['26.25', '31.39', '36.07', '29.18']",8 Aug 2009
"WOLF, Felix",1989,Germany,2:02.94,"['26.76', '30.86', '1:05.']",25 Jun 2009
"VIVES GOMIS, Carlos",1988,Spain,2:02.97,"['27.25', '1:35.']",21 Jul 2009
"SCOZZOLI, Fabio",1988,Italy,2:02.99,"['26.44', '32.06', '34.51', '29.98']",5 Mar 2009
"PAVONI, Roberto",1991,Great Britain,2:03.05,"['26.76', '31.12', '35.56', '29.61']",16 Apr 2009
"ABASCAL GALLEGOS, Joaquin",1986,Spain,2:03.16,"['26.00', '1:37.']",21 Jul 2009
"ATSAPKIN, Alexey",1992,Russia,2:03.19,[],16 Apr 2009
"DESMARET, Joris",1990,France,2:03.24,"['25.76', '31.34', '36.79', '29.35']",25 Apr 2009
"PANNIER, Anthony",1988,France,2:03.34,"['27.38', '31.80', '34.83', '29.33']",25 Apr 2009
"GILCHRIST, Kristopher",1983,Great Britain,2:03.36,"['27.09', '32.24', '33.81', '30.22']",24 Jan 2009
"GREENFIELD, Thomas",1989,Great Britain,2:03.39,[],30 Jul 2009
"GENI, Simone",1992,Italy,2:03.41,"['26.85', '31.85', '35.58', '29.13']",12 Aug 2009
"SHUDRENKO, Roman",1987,Ukraine,2:03.47,"['25.96', '31.57', '35.64', '30.30']",14 Jun 2009
"LIOUPIS, Matteo",1990,Greece,2:03.55,[],11 Apr 2009
"BROGLIA, Francesco",1991,Italy,2:03.59,"['26.28', '32.62', '35.37', '29.32']",12 Aug 2009
"KALENOV, Dmitry",1984,Russia,2:03.66,"['25.14', '30.65', '37.36', '30.51']",30 Apr 2009
"ZHILIN, Dmitry",1990,Russia,2:03.69,"['26.55', '32.18', '35.11', '29.85']",30 Apr 2009
"MANGONI, Vanni",1985,Italy,2:03.70,[],5 Jul 2009
"MOURAO, Duarte Rafael",1984,Portugal,2:03.73,"['25.87', '31.74', '35.66', '30.46']",7 Jun 2009
"KOZMA, Dominik",1991,Hungary,2:03.85,"['26.11', '33.15', '1:04.']",9 Jul 2009
"NATULLO, Joseph Davide",1988,Italy,2:03.88,[],12 Jul 2009
"DE STEFANI, Alessio",1990,Italy,2:03.91,"['26.82', '31.73', '36.00', '29.36']",12 Aug 2009
"DEIBLER, Markus",1990,Germany,2:03.98,"['1:00.', '1:03.']",1 Mar 2009
"JASINSKI, Jakub",1987,Poland,2:03.98,"['27.13', '31.12', '36.81', '28.92']",23 May 2009
"STROHMEYER, Guillaume",1985,France,2:04.02,"['26.43', '32.14', '37.36', '28.09']",28 Mar 2009
"WOOD, Luke",1991,Great Britain,2:04.02,[],30 Jul 2009
"DALE, Euan",1985,Great Britain,2:04.03,[],15 Feb 2009
"BATTISTELLA, Giorgio",1989,Italy,2:04.03,"['26.58', '31.09', '37.21', '29.15']",12 Aug 2009
"HAFFIELD, Thomas",1988,Great Britain,2:04.08,[],17 Mar 2009
"CIESLAK, Marcin",1992,Poland,2:04.13,"['58.53', '1:05.']",9 Dec 2009
"COLUPAEV, Dimitri",1990,Germany,2:04.17,[],28 Mar 2009
"AHME, Morten",1991,Germany,2:04.17,"['26.90', '31.67', '1:05.']",9 Jul 2009
"ARYBLIAS, Georgios",1988,Greece,2:04.18,[],6 Aug 2009
"SZANA, Zsombor",1992,Hungary,2:04.25,"['27.57', '31.73', '36.42', '28.53']",19 Dec 2009
"HARRINGTON, Adam",1991,Great Britain,2:04.32,"['26.81', '31.39', '1:06.']",9 Jul 2009
"PIVA, Stefano",1989,Italy,2:04.40,"['25.99', '33.03', '35.78', '29.60']",12 Aug 2009
"NATSVIN, Evgeny",1985,Russia,2:04.52,"['25.41', '31.70', '38.44', '28.97']",29 Apr 2009
"TOUMARKIN, Yakov Yan",1992,Israel,2:04.59,"['27.09', '30.95', '37.05', '29.50']",28 Nov 2009
"PURNELL, William",1988,Great Britain,2:04.60,[],17 Mar 2009
"GORBUNOV, Dmitry",1991,Russia,2:04.60,[],16 Apr 2009
"MIGEON, Victor",1990,France,2:04.60,"['27.34', '30.94', '36.37', '29.95']",25 Apr 2009
"COTON, Quentin",1991,France,2:04.62,"['27.64', '32.31', '35.58', '29.09']",25 Apr 2009
"LEFERT, Clement",1987,France,2:04.63,"['26.52', '32.93', '36.97', '28.21']",28 Mar 2009
"MALY, Jakub",1992,Austria,2:04.67,"['26.82', '32.20', '1:05.']",9 Jul 2009
"GYURTA, Gergely",1991,Hungary,2:04.70,[],14 Jun 2009
"MASCHI, Niccolo'",1990,Italy,2:04.79,"['26.84', '32.10', '36.36', '29.49']",5 Mar 2009
"CERTA, Maciej",1991,Poland,2:04.79,"['27.33', '32.53', '1:04.']",9 Jul 2009
"NAGY, Peter",1985,Hungary,2:04.84,"['27.40', '32.29', '1:05.']",28 Jun 2009
